question,contexts,ground_truth,evolution_type
什么是情绪混淆，以及它如何影响我们对事物的理解和判断？,[对方有一些缺点，结果有时贪爱他，有时又嗔恨他，但贪爱与嗔恨的部分是不一样的。两种心情混在一起时，他就搞糊涂了，到底我是爱那个人呢？还是恨那个人？所以贪爱与嗔恨之心决不会同时生起，但贪爱与嗔恨之间，取舍不定时，则产生愚痴。\n\n（三）、痴：既是无明，于诸事理迷惑，是非不明，事理无知。对四圣谛、三宝的实、德、能（真实、功德、自能修成），不能信受。既是说对于真理的实、三宝的功德、自己与他人能修行解脱，这三件事情迷惑，没有信心；或是对一件事不知分辨对与错，这都是愚痴。比如说你爱某人，是爱他的优点与美德；你嗔某人，是讨厌他的缺点。这使你混淆，把两件事当作一件事，不知是对或是错，不能明辨是非，就产生愚痴。实际上世间的种种事物是不可能十全十美的，但你要美满、美好，好的你要，坏的你不要，好坏在一起时，不能分辨是非，而产生不知取舍，结果不知如何是好，这就是愚痴。\n\n我们对事理不明白，不知晓，这也可说是愚痴。当我们愚痴时，往往会做出各种傻事，比如看到人受病苦的折磨，我们可怜他，认为反正他是要死了，不如把他人道毁灭，让他早日解脱，这就是愚痴。因为我们不明白病苦中有因果业报，决不会因�],情緒混亂是指當兩種心情混在一起時，他就搞糊塗了，到底我是愛那個人呢？還是恨那個人？所以貪愛與瞋恨之心決不會同時生起，但貪愛與瞋恨之間，取捨不定時，則產生愚痴。,simple
在唯识宗的八识体系中，“识蕴”是什么概念？,[�住的时候，心多数就不会注意到眼睛所看的景物。但是根、尘接触的时候，心有时会同时、同境注意，有时候不会；比如说，我们坐在那儿看书，看到入神时，外面有声音在耳朵那里作用，我们却不知道；那就是根、尘接触时，心当时不在耳根，也不在外境（声音）那儿作用，耳识就不生起来，耳边有什么声音，就没听到了。所以我们要明白，内心、六根与外境的作用有这样的区别。\n\n（五）、识蕴\n\n很多识蕴聚合在一起，称为识蕴。依唯识宗说：识可分为八种，称为心王。前面六种：眼、耳、鼻、舌、身、意是属于了别的作用，故称为识。识是依根缘外尘了别外境。\n\n（１）、了别与分别的不同：\n\n了别的意思是：我们的心第一念知觉所对的境，没有加任何的语言去称呼它，称为了别；分别是在了别以后，我们的心对于外境进一步加于名言的了解。比如你坐在这里听我说法，听到我的声音，知道我的声音是男人的声音吗，知道。但是当时你有没有加语言去分别？没有，对吗？所以我每讲一句话，你都知道是广超师的声音，是男人的声音，但是你不必去想它，只是知道而已，这种知道的作用称为了别。但是当我提起我的声音是男人的声音时，你就去想：男人的声音是低沉的，与女声不同；过后],“识蕴”这一概念指的是多种感知的组合。根据唯识宗的理论，它可以分为八种类型，被称为心王。前六种类型：眼、耳、鼻、舌、身、意被视为独立的功能，因此被称为“识”。这些感知基于根和外尘，与其他环境相区别。,simple
在五蕴中，触是如何与心和境接触后产生受、想、行的？,[根是我们的识依靠它来知道外境。心与境接触的时候，那个接触的心理称为触。触当时能知外境的是识，心、境接触之后，就会连续的生起受、想、行。过后苦、乐、舍三种受即生起。同时心构画种种的形相。而且给它们种种名称，此既是所谓的想。我们安立名言后，加上烦恼，就生起善、恶之心，甚至发动身、口、意去造业，这就是五蕴－－色、受、想、行、识之间的关系。我们的生命就是这样一直连续不断的活动。\n\n六、五蕴的真相：\n\n五蕴的真相是无常、苦、空、无我。因为五蕴中的每一念都在生灭变化，故它是无常的；因为它无常，每一念生起后，终归会消灭，故苦；因为在五蕴的聚合中，任何的一个东西都不是常的，不是独立的，不是单一的，非常非一，而且没有主人，没有人控制，它一直随著因缘生灭，故无我；因为五蕴是因缘所生，因缘所生的东西没有自性，即使没有自己的性能，所谓没有自性，无自性故空。\n\n七、观察五蕴：\n\n佛陀在《五蕴譬喻经》中教导我们要怎样观察五蕴，经曰：‘观色如聚沫，受如水上泡，想如春时焰，诸行如芭蕉，诸识法如幻。’佛陀教导我们观察五蕴中的‘色’如河水冲击时形成的肮脏的泡沫，虚有其形，实无一物，保留片刻，容易破灭；‘受’�],在五蕴中，触是与心和境接触后产生受、想、行的。触当时能知外境的是识，心、境接触之后，就会连续的生起受、想、行。过后苦、乐、舍三种受即生起。同时心构画种种的形相。而且给它们种种名称，此既是所谓的想。我们安立名言后，加上烦恼，就生起善、恶之心，甚至发动身、口、意去造业，这就是五蕴——色、受、想、行、识之间的关系。,simple
什么是修禅定的三种静虑，它们如何帮助我们远离烦恼并更敏锐地观察世间？,[脱之道，这才称为禅定波罗蜜。\n\n禅定可分为三种：\n\n（1）、安住静虑：\n\n禅定古印度文称为禅那，意思既是静静的思维修行，也既是静虑。安住静虑既是安住禅定。我们有昏沉与掉举的烦恼业习，使我们的心不能敏锐的观察此世间，不容易发觉吾人心念的起落，所以要通过修禅定使他轻安，时时刻刻保持它，不生起昏沉、掉举的烦恼，这样我们才能敏锐的观察世间，不容易被迷惑。\n\n（2）、引发静虑：\n\n既是引发禅定，菩萨要给予众生利益，没有神通力，他所给予的利益是不大的；菩萨必定要认真修四禅八定，在深的禅定中可以引发种种神通，以种种的善巧方便度化、利益众生，故菩萨要修引发静虑。\n\n（3）、办事静虑：\n\n行、住、坐、卧都在定中，称为办事静虑。此种静虑也称为那伽定，既是菩萨在一切时都在定中，有此定力的菩萨则可进入世间做各种利益众生的事业。\n\n这三种静虑，使我们远离昏沉的烦恼，能更敏锐的观察世间，而生起智慧，所以禅定能生起智慧，智慧能使我们解脱，度到生死解脱的彼岸。如有人修禅定只是为了求各种神通，则不能称为禅定波罗蜜。\n\n（六）、智慧：\n\n智慧可分为世间智慧与出世间智慧。\n\n（1）、�],修禅定的三种静虑包括：（1）安住静虑，（2）引发静虑，（3）办事静虑。这些静虑帮助我们远离昏沉与掉举的烦恼，能更敏锐地观察世间，而生起智慧，所以禅定能生起智慧，智慧能使我们解脱，度到生死解脱的彼岸。如有修禅定只是为了求各种神通，则不能称为禅定波罗蜜。,simple
在上下文中，“害”指的是什么行为？,[并以粗暴言行骚扰他人，或疾言厉色的怒骂别人，使他人也苦恼。\n\n（4）、害：恼后就无悲愍及爱心，常以打杀、恐吓等侵损逼害众生。就好像他对我不仁，我就对他不义。\n\n恼与害之差别：有些人‘害’的烦恼少，被人欺负，只会在那而‘恼’罢了，即使他很苦，也不敢害人，这种人就是有良知，有慈悲心者，他没能力反抗，因为不敢害人。反之有一些人，他有害的烦恼，苦恼之后就要去对付别人，这就是由‘恼’转为‘害’；有些人很残酷，路过见到一些猫、狗等小动物，他都无缘无故地踢一脚，这是没有恼，但是有害的心理，没有慈悲心；看到蛇、蟑螂就一定要打死；看见蟑螂讨厌是因为恼、忿、恨，所以打；但是看见青蛙也要打死，那就是害的心。这世间就是有一些没有慈悲心的人，经常损害别人。\n\n（5）、嫉：即妒忌，不能忍受他人之成就、优胜而起嗔心。有些人妒忌别人的名誉、地位、财富等。妒忌别人比自己漂亮；别人的孩子比自己的聪明；别人做事有成就被赞叹，而令你生起妒忌等等。此烦恼是与他人无关，没人惹你，是自己不能忍受别人比你优越，而生起妒忌的心理。\n\n（6）、诳：虚伪的夸大，或是以言行假装有才德，为求名利来欺骗他人。比如有人问一个�],在上下文中，“害”指的是以粗暴言行骚扰他人，或疾言厉色的怒骂别人，使他人也苦恼。,simple
古代印度文献中三种冥想类型的名称是什么？,[脱之道，这才称为禅定波罗蜜。\n\n禅定可分为三种：\n\n（1）、安住静虑：\n\n禅定古印度文称为禅那，意思既是静静的思维修行，也既是静虑。安住静虑既是安住禅定。我们有昏沉与掉举的烦恼业习，使我们的心不能敏锐的观察此世间，不容易发觉吾人心念的起落，所以要通过修禅定使他轻安，时时刻刻保持它，不生起昏沉、掉举的烦恼，这样我们才能敏锐的观察世间，不容易被迷惑。\n\n（2）、引发静虑：\n\n既是引发禅定，菩萨要给予众生利益，没有神通力，他所给予的利益是不大的；菩萨必定要认真修四禅八定，在深的禅定中可以引发种种神通，以种种的善巧方便度化、利益众生，故菩萨要修引发静虑。\n\n（3）、办事静虑：\n\n行、住、坐、卧都在定中，称为办事静虑。此种静虑也称为那伽定，既是菩萨在一切时都在定中，有此定力的菩萨则可进入世间做各种利益众生的事业。\n\n这三种静虑，使我们远离昏沉的烦恼，能更敏锐的观察世间，而生起智慧，所以禅定能生起智慧，智慧能使我们解脱，度到生死解脱的彼岸。如有人修禅定只是为了求各种神通，则不能称为禅定波罗蜜。\n\n（六）、智慧：\n\n智慧可分为世间智慧与出世间智慧。\n\n（1）、�],古代印度文献中的三种冥想类型被称为安那般那（Anapanasati）、正念（Satipatthana）和禅定（Samatha）。,reasoning
"""在修习慈悲之前，当心神散乱时，第一步应该采取什么措施？""",[�不净观被和称为二甘露门，它们是要修学禅定的初步。比如说一个人修慈悲观，但心散乱，想动想西，这是很难有成就的，所以他应该先修数息观把散乱的心定下来；又如一个人的心已经有相当的定力，但是他的嗔心重，那他就应该修慈悲观。\n\n在修学禅定的过程中，我们应该去参访有学问得导师以解除疑问，请给予援助和开导或启示，亲身体验一段时期，适合我们根器的方法就是好的，不适合的就应该放弃；除非那个教导者有宿命通与他心通，他知道我们过去业的因缘，与现在贪、嗔、痴心烦恼之所在，能以正确和适合的方法教导我们，这样修习禅定就会很快有成就。如果遇不到这类导师，最好是从数息观、不净观那儿著手，然后再修四念处。\n\n声闻果与佛果\n\n一般学佛的行人，从努力修行，至因缘成熟时，就可觉悟证果。在佛教的证悟中，可分为小乘的果位与大乘的佛果。小乘的果位有四果；大乘菩萨的果位称为‘地’，菩萨十个果位称为十地，真正圆满菩萨六度万行，完成的证悟果位，称为佛果。\n\n一、声闻四果：\n\n小乘又称为声闻乘，既是听闻佛法而觉悟的人。他们之所以被称为小乘人，是因为他们心量小，只求自己解脱。佛教的主要目标，是要‘上求佛道，下],在练习慈悲之前，当心灵散乱时，首先要采取的步骤是通过练习正念来培养一个平静且专注的心，以稳定散乱的心灵。,reasoning
当一个人摆脱所有幻觉，超越语言解释时，会出现什么境界？,[�。为什么呢？那是因为他离一切‘妄想’。‘妄想’就是众生种种的心念，根据佛法说我们众生从出世到现在都在妄想中，这些妄想告诉我们世间种种的事情。比如刚才所讲的‘雨水’，你认为天上有雨水落下，这就是妄想，实际上只不过是某种因缘形成‘水’从天上掉下来，并没有雨水，雨水只不过是一个名称罢了；进一步说‘水’也是一个名称。我们在名称里面生起种种妄想，所以当一个人没有种种妄想之后，就不会认为有雨水掉下来，那时候他内心归于平静，称为寂静，所以涅槃是离一切妄想。一切妄想都包括在语言当中，凡夫执著语言，依据种种名称，分别种种事物，是我们坠入种种语言、事物当中。因为涅槃是离开妄想，不在语言范围里面，所以涅槃不可以用语言来阐释。《法华经》上说：‘诸法寂灭相，不可义言宣。’既是此意。\n\n虽然没有证悟涅槃的人，但是凡夫的我们还是要依赖语言来了解它，结果佛陀慈悲，巧妙的运用语言来告诉我们，有所谓证悟涅槃的圣者，他们是：\n\n佛陀－－证悟无上正等正觉得觉者。\n\n菩萨－－证悟到无生法忍、无住涅槃的圣者。\n\n辟支佛－－证悟涅槃的圣者。\n\n佛陀运用语言宣说这些值得我们学习的圣者，但是学佛者千万不要执著有�],当一个人摒弃所有妄念时所达到的状态，被称为宁静或静谧。,reasoning
" ""在修行过程中，如何通过特定的禅定方法克服欲望界的多重欲望，进而达到清净界的状态？""\noutput: ""修行中，怎样用特定禅定法克服多重欲望，达清净界？","[有一定的次序。有些人可以不必受戒就修定，而且修出成绩来，那是因为他有宿世善根，一般人还是要按照戒、定、慧的次序来修。那么，什么是禅定呢？\n\n禅定是由梵文（Ｄｈｙａｎａ）翻译过来的，音译是禅那，意思是静虑：既是心定下来观察思维；也就是以所观的境，令心专注不散，称为‘定’；‘观’既是作种种的观行。禅定包含‘止’和‘观’，‘止’（Ｓａｍａｔｈａ）和‘观’（Ｖｉｐａｓｙａｎａ）都是由梵文翻译过来的。一个人修任何的禅定，一定离不了止和观，不然的话，他修的禅定会偏向外道。\n\n佛陀说我们这个世间可分成三界：欲界、色界和无色界。欲界有种种欲望，且没有定心；色界和无色界都要依靠定力进入。我们在欲界里修禅定，其中一个目的就是要离欲界而进入四禅八定，乃至进入灭尽定。\n\n我们要进入四禅八定之前，必须先修习一些在欲界里的基本的定，真正来讲有欲界定和未来禅两种。修欲界定先要坐禅，再坐禅的过程中，我们可依心态的不同而分成几个步骤：\n\n（一）、粗心住：\n\n开始静坐的人，心很散乱，越做杂念越多，控制不了；同时坐得腰酸骨痛，身体不正直，歪来歪去，因为平时我们的身, ，这四种定都是要一层一层的进入，已经出了色界，称为‘无色界定’。在佛法中我们将这个世间分为三界，又称为九地，既是欲界称为散地；色界和无色界称为定地，要进入此二界，必定要依靠禅定；但是在欲界中，比如要进入兜率天、忉利天等就不须靠定力，只要积极努力的修集各种的福德因缘即可。\n\n二、简介修习禅定之方法：\n\n根据南传的《清净道论》中共有四十种修习禅定方法，它们是：十遍、十不净、十随念、四梵住（四无量心）、四无色、一想和一差别。修习禅定应从数息入手，比较稳当；因为各种禅定的修行适合不同根器的众生，比如修不净观，能够破除淫欲，但是有些人嗔心重，修不净观到一个时期后，会对身体产生厌恶的心理，结果想自杀，这种人就不适合修不净观。所以修习各种禅定的方法应该根据个人的烦恼所在而修，并不是人人都能够修习相同的方法。但是其中两种禅定方法，比较适合大多数的众生，它们是不净观与数息观。\n\n我们的心很散乱，坐禅时数呼出吸入的气息，慢慢降服我们的散乱心而进入定；我们是烦恼重的欲界众生，要修禅定进入色界，就要舍离欲界的种种欲望，而在此中最严重的烦恼是色欲，所以我们应该修不净观来对治它，所以数息观�]",在修行过程中，通过特定的禅定方法克服欲界的多重欲望，进而达到清净界的状态，应修不净观来对治它，所以数息观。,multi_context
" ""为什么菩萨需要修引发静虑以利益众生？",[脱之道，这才称为禅定波罗蜜。\n\n禅定可分为三种：\n\n（1）、安住静虑：\n\n禅定古印度文称为禅那，意思既是静静的思维修行，也既是静虑。安住静虑既是安住禅定。我们有昏沉与掉举的烦恼业习，使我们的心不能敏锐的观察此世间，不容易发觉吾人心念的起落，所以要通过修禅定使他轻安，时时刻刻保持它，不生起昏沉、掉举的烦恼，这样我们才能敏锐的观察世间，不容易被迷惑。\n\n（2）、引发静虑：\n\n既是引发禅定，菩萨要给予众生利益，没有神通力，他所给予的利益是不大的；菩萨必定要认真修四禅八定，在深的禅定中可以引发种种神通，以种种的善巧方便度化、利益众生，故菩萨要修引发静虑。\n\n（3）、办事静虑：\n\n行、住、坐、卧都在定中，称为办事静虑。此种静虑也称为那伽定，既是菩萨在一切时都在定中，有此定力的菩萨则可进入世间做各种利益众生的事业。\n\n这三种静虑，使我们远离昏沉的烦恼，能更敏锐的观察世间，而生起智慧，所以禅定能生起智慧，智慧能使我们解脱，度到生死解脱的彼岸。如有人修禅定只是为了求各种神通，则不能称为禅定波罗蜜。\n\n（六）、智慧：\n\n智慧可分为世间智慧与出世间智慧。\n\n（1）、�],菩萨需要修引发静虑以利益众生，因为菩萨要给予众生利益，没有神通力，他所给予的利益是不大的；菩萨必定要认真修四禅八定，在深的禅定中可以引发种种神通，以种种的善巧方便度化、利益众生，故菩萨要修引发静虑。,simple
